zcta,noise_mean_db,noise_max_db,noise_min_db,median_household_income,unemployment_rate,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,affluence,disadvantage,median_family_income,home_value,poverty_rate
90250,56.756129152740755,79.93145941915907,45.071039102559155,78331.0,63.7,96200.0,0.1151975020766,0.2343970835209,0.5371309518814,0.3206132948399,0.0716254487634,0.2867482304573,0.1814550608397,82289.0,881547.6404420314,12.0
90251,55.48226686507937,74.97344207763672,45.06369781494141,,,,,,,,,,,,,
90254,56.49334527311834,78.47485161150878,45.055846372798705,166442.0,66.6,19551.0,0.7340800762177,0.0056263105944,0.1139583662152,0.1192266345024,0.0493945479393,0.7441999912262,0.050737567246,226970.0,2263721.879825474,3.7
90255,54.720130645950036,71.87485139999491,45.090220976207426,64766.0,57.5,71654.0,0.0134535403922,0.0033912970684,0.9734836816788,0.4579227864742,0.0996008291841,0.1273976862431,0.2489397078753,57910.0,674049.6606444066,15.3
90260,55.444856046623244,76.65794941354103,45.0201498918401,87825.0,63.1,33282.0,0.170512586832,0.0537828244269,0.6294994354248,0.3941770195961,0.0806502848864,0.2567286789417,0.1417123824358,81005.0,817315.1949832236,9.0
90262,59.02052737798772,83.42884441551377,45.037230592454584,75194.0,56.1,66073.0,0.0235951151699,0.0807894319296,0.8793909549713,0.3847108483315,0.0966803506017,0.1530658006668,0.2105651944876,66463.0,689600.734469404,14.1
90263,57.915254068283346,78.57694244384766,45.00099182128906,,36.8,,,,,,,,,,,
90265,57.44173902227728,78.8942870798494,45.003344039804055,196742.0,49.5,16652.0,0.7467571496964,0.0074465530924,0.1085755452514,0.1645448058844,0.0610911883414,0.7009631991386,0.0616023987532,213410.0,3240129.192174588,5.0
90266,54.509399291126044,73.65553461371425,45.047682936446705,204306.0,61.2,35123.0,0.7146029472351,0.0042137629353,0.0795205384493,0.1305697113276,0.0384013466537,0.7785068750381,0.0291630569845,236009.0,3260372.905078262,3.7
90267,55.0371409789644,79.09716796875,45.11616134643555,,,,,,,,,,,,,
90270,54.73980569181311,71.53013465601647,45.081735117684545,61165.0,58.1,24950.0,0.0065731462091,0.0022444890346,0.9758316874504,0.4875751435757,0.0563033483922,0.1239577382803,0.2483475804329,59846.0,651884.4768976881,17.9
90272,56.02682341894774,75.37326590132793,45.02485182495635,189713.0,55.6,21298.0,0.8015776276588,0.0074185370468,0.0451216064394,0.1484646499157,0.0365992747247,0.7878974676132,0.0420438684523,250001.0,2942473.1216383823,4.4
90274,54.635455420540374,73.04237709201438,45.009928521420285,215925.0,49.8,24942.0,0.6147060990334,0.0319140404463,0.0584957115352,0.2208323329687,0.0551481097937,0.7361841797829,0.0351526588202,242500.0,2556115.9810576756,2.7
90275,56.41640917257877,74.30090381975559,45.02391726019208,179469.0,51.1,41941.0,0.474738329649,0.0179299488664,0.1089387461543,0.2696168422699,0.0504725314677,0.6753007769585,0.0391212925315,184728.0,1836517.882693017,3.0
90277,56.20740314048418,78.7909649837794,45.02039861511291,127795.0,60.3,36339.0,0.6109138727188,0.0277112741023,0.1480503082275,0.2165717333555,0.0532760582864,0.6593136191368,0.0567238889635,168003.0,1660190.2228841418,2.3
90278,53.12321167454622,73.85692677451466,45.01818462008263,160236.0,68.2,42536.0,0.5235565304756,0.0257428996265,0.157113969326,0.20124129951,0.0520240813494,0.6328959465027,0.0497267358005,174817.0,1419174.2940801706,3.0
90280,54.23829058575483,70.08261706127097,45.12937273953257,74651.0,60.0,92262.0,0.0256443601102,0.0082807652652,0.952450633049,0.4161084592342,0.078456401825,0.1625579744577,0.1999806314707,68967.0,698677.9890189696,10.9
90290,58.138963987800125,79.55062731864635,45.005699255801055,149304.0,57.6,5300.0,0.7494339346886,0.0241509433836,0.0845283046365,0.18660376966,0.0629420056939,0.6946015357971,0.0452499985695,180880.0,1452358.2069538098,0.0
90291,55.099267454722415,73.7992939827339,45.02686806937017,122738.0,69.7,25656.0,0.6637433767319,0.054568130523,0.1713439375162,0.1950810700655,0.0705654323101,0.6764506101608,0.0733700618148,172500.0,1908122.7143979275,7.1
