zcta,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,poverty_rate,affluence,disadvantage,median_family_income
42410,1219,0.8408531546593,0.1452009826899,0.0049220672809,0.0041017225012,0.0900735259056,0.3051681816578,0.120202511549,0.3682961463928,42917.0
42411,2082,0.9947166442871,0.0052833813243,0.0,0.0,0.0273224040866,0.1878001987934,0.1991977840662,0.1789610236883,86458.0
42413,2406,0.943890273571,0.004571903497,0.034497089684,0.0049875313416,0.0636815950274,0.0813043490052,0.3034279346466,0.1074323654175,88896.0
42420,38528,0.8357817530632,0.0794227570295,0.0335859619081,0.0145608391613,0.0374764688313,0.1747925132513,0.2297749370337,0.1984830796719,72979.0
42431,26666,0.8313207626343,0.0890647247434,0.0257631447166,0.023775594309,0.0859662666917,0.2208065390587,0.229725793004,0.2064983695745,63421.0
42436,1426,0.9614305496216,0.004908835981,0.0,0.0,0.0350058339536,0.1157082766294,0.2274972498417,0.0828043296933,70529.0
42437,7419,0.82005661726,0.1233319863677,0.0273621790111,0.0198139902204,0.0414144620299,0.2627838850021,0.1938836574554,0.2013502568007,66744.0
42440,936,0.934829056263,0.0320512838662,0.0160256419331,0.0,0.0080645158887,0.2254273444414,0.2066116631031,0.291880428791,52083.0
42441,1853,0.9217485189438,0.0091743115336,0.0399352386594,0.0388559103012,0.0747986212373,0.0674581751227,0.1845089793205,0.0947469994426,81705.0
42442,3147,0.9475691318512,0.0206545908004,0.0149348583072,0.0133460434154,0.0724014341831,0.1462217867374,0.1992961615324,0.1838652193546,75114.0
42445,10242,0.8714118599892,0.0728373378515,0.0270454995334,0.0258738528937,0.05080935359,0.1574266254902,0.2033962011337,0.2075715065002,57274.0
42450,3766,0.8685607910156,0.1080722287297,0.002920870902,0.0,0.0617782920599,0.1797542721033,0.1795852333307,0.235872104764,57276.0
42451,582,1.0,0.0,0.0,0.0189003441483,0.0,0.5670102834702,0.0560593754053,0.5435162186623,23676.0
42452,2276,0.9626537561417,0.0144991213456,0.0092267133296,0.0043936730362,0.0797872319818,0.0347864367068,0.2134272307158,0.0865019932389,78289.0
42453,527,0.9905123114586,0.0,0.0056925998069,0.0018975331914,0.0,0.248576849699,0.0912600010633,0.2344543635845,51274.0
42455,3475,0.7588489055634,0.0054676258005,0.1913669109344,0.0851798579097,0.0144745120779,0.1130228415132,0.15186008811,0.1275739371777,73542.0
42456,1293,0.9814385175705,0.003866976127,0.0146945090964,0.0116009283811,0.046128500253,0.2049497365952,0.2326591461897,0.2275836765766,56953.0
42458,930,1.0,0.0,0.0,0.0,0.0649350658059,0.1354838758707,0.2828051447868,0.0777164399624,57611.0
42459,3935,0.9679796695709,0.0157560352236,0.0081321476027,0.0005082592252,0.0220500603318,0.0875706225634,0.1477259993553,0.1161457374692,68150.0
42461,1050,0.9828571677208,0.0038095237687,0.0,0.0019047618844,0.0831683203578,0.1257142871618,0.1141821444035,0.1744499951601,59722.0
42462,1512,0.8531746268272,0.1289682537317,0.0165343917906,0.0,0.0153631288558,0.0709030106664,0.218666151166,0.1250582337379,61908.0
42463,137,1.0,0.0,0.0,0.0,0.0,0.1167883202434,0.1047077924013,0.0850832909346,50000.0
42464,1714,0.9632439017296,0.0023337223101,0.0046674446203,0.0017502916744,0.0653008967638,0.1544762998819,0.2213796079159,0.2291090935469,75938.0
42501,17080,0.9216042160988,0.0209016390145,0.024531615898,0.0178571436554,0.0372480899096,0.2319431006908,0.1917436122894,0.277307510376,53968.0
42503,25381,0.9274654388428,0.0092194946483,0.0367991812527,0.032977424562,0.050208479166,0.1811905503273,0.2705864310265,0.1965237557888,67993.0
42516,504,1.0,0.0,0.0,0.0,0.0,0.1924603134394,0.1206216812134,0.358824968338,39153.0
42518,3068,0.9162320494652,0.0,0.0260756202042,0.014993481338,0.0415686257184,0.3194909691811,0.1971315294504,0.3162561357021,49160.0
42519,3109,0.9334191083908,0.0006432936643,0.0115792863071,0.0016082341317,0.0848708450794,0.29153200984,0.1309249699116,0.3163510560989,46985.0
42528,2156,0.9805194735527,0.0,0.0032467532437,0.0,0.1168478280306,0.3060747683048,0.1686619669199,0.2915753722191,54766.0
42533,917,0.856052339077,0.0,0.0447110123932,0.0523446016014,0.0668693035841,0.3407325148582,0.1474602520466,0.3501222729683,36603.0
42539,9896,0.9295675158501,0.0141471298411,0.0311236865819,0.0123282130808,0.0883565172553,0.2466098964214,0.1643414050341,0.2733820676804,48908.0
42541,279,1.0,0.0,0.0,0.0,0.1322313994169,0.1863799244165,0.1054325997829,0.2979620099068,26850.0
42544,5486,0.978126168251,0.0,0.0082026980817,0.0082026980817,0.0410617999732,0.1741511523724,0.2075680196285,0.1892974078655,68315.0
42553,6249,0.9670346975327,0.0001600256073,0.0168026890606,0.0118418950588,0.0631136074662,0.1971028596163,0.1450290977955,0.2276297956705,60250.0
42566,360,1.0,0.0,0.0,0.0,0.0,0.111111111939,0.2037029266357,0.1606312841177,83333.0
42567,5241,0.9469566941261,0.0,0.0175539012998,0.0110665904358,0.049012158066,0.2469914108515,0.190113812685,0.2573351562023,64405.0
42602,9141,0.9337052702904,0.0015315611381,0.0350071117282,0.0133464606479,0.0573495216668,0.2069119215012,0.1751451045275,0.2696160674095,48406.0
42603,628,0.9904458522797,0.0,0.0,0.0,0.0,0.1707317084074,0.0356586277485,0.222462400794,71705.0
42629,5683,0.9544254541397,0.01513285283,0.007566426415,0.0089741330594,0.0879222601652,0.2651213407516,0.1919647306204,0.2776480317116,57167.0
42633,18483,0.9227939248085,0.0052480655722,0.0394416488707,0.0289455167949,0.0551805123687,0.2493936121464,0.1688101142645,0.2558855712414,54982.0
42634,1920,0.9588541388512,0.0296874996275,0.0,0.0,0.0463320463896,0.429166674614,0.1930543780327,0.376761585474,40208.0
42635,4906,0.7056665420532,0.2005707323551,0.0456583760679,0.014879738912,0.0683823525906,0.2667243480682,0.1304378509521,0.3324534893036,46618.0
42642,12382,0.9137457609177,0.0087223388255,0.0553222410381,0.0150218056515,0.0544949658215,0.212616622448,0.2117251157761,0.2272172570229,68393.0
42647,3905,0.9848911762238,0.0,0.0,0.0,0.0865766480565,0.3821011781693,0.1467784196138,0.4653026163578,38187.0
42653,4113,0.9450522661209,0.0233406275511,0.0070508145727,0.008509603329,0.0442600287497,0.2676755189896,0.1759305298328,0.2857237756252,61284.0
42701,52618,0.7999923825264,0.089703142643,0.0443954542279,0.0383899062872,0.0616660788655,0.1068816334009,0.3211395740509,0.1266562044621,85824.0
42712,1681,0.9684711694717,0.0,0.017251636833,0.0,0.0582072176039,0.196311712265,0.1864034831524,0.1843388676643,62614.0
42713,1730,0.9485549330711,0.0306358374655,0.0,0.0040462426841,0.0392749235034,0.2253436893225,0.0814196020365,0.306099742651,50875.0
42715,338,0.5769230723381,0.0562130175531,0.0,0.0,0.1500000059605,0.0177514795214,0.1936974823475,0.0966003909707,80588.0
42716,1401,0.9072091579437,0.0149892931804,0.0328336916864,0.0157030690461,0.0357675105333,0.1534618139267,0.1612004041672,0.2421605139971,66595.0
42717,5916,0.9293441772461,0.0273833665997,0.0177484788001,0.0109871532768,0.0336099602282,0.2853209376335,0.2102692425251,0.2846457064152,56543.0
42718,25984,0.8947429060936,0.0437192134559,0.0259005539119,0.0111222295091,0.0510634891689,0.1420562267303,0.2356944531202,0.1629673838615,74692.0
42721,3954,0.9537177681923,0.0,0.0037936267909,0.0159332323819,0.0302132703364,0.1271076500416,0.1565276831388,0.1971288174391,59348.0
42722,338,1.0,0.0,0.0,0.0,0.0,0.1094674542546,0.1612879186869,0.1668939143419,88281.0
42724,5406,0.8621901869774,0.0107288202271,0.0049944506027,0.0183129850775,0.04153605178,0.0786641910672,0.2940782010555,0.0998922660947,80813.0
42726,4960,0.9532257914543,0.0048387097195,0.0199596770108,0.0046370965429,0.0185018051416,0.1743082255125,0.2196250557899,0.1632650494576,64038.0
42728,15789,0.9145607948303,0.0182405468076,0.0255240984261,0.0345177017152,0.0648716539145,0.1799257993698,0.2286136001348,0.208540469408,63327.0
42729,1518,0.9604743123055,0.0,0.0197628457099,0.0322793163359,0.0315581858158,0.2028985470533,0.1945778727531,0.2072165906429,90714.0
42732,2411,0.9510576725006,0.0103691415861,0.0099543761462,0.0,0.1974951773882,0.2501036822796,0.1585875302553,0.2212037593126,56506.0
42733,1615,0.9585139155388,0.0,0.0,0.0,0.00704225339,0.3198001384735,0.1426560431719,0.2532611787319,83879.0
42740,2157,0.9796013236046,0.0078813163564,0.0004636068479,0.0004636068479,0.001745200716,0.0556594952941,0.1977768242359,0.060658428818,84802.0
